 0.1000000E+00  0.7552036E-01  0.5103942E-01  0.3297463E-01  0.1997508E-01  0.1096545E-01  0.5090665E-02  0.1671541E-02  0.1693319E-03  0.1573183E-03  0.1298096E-02  0.3325406E-02  0.6029610E-02  0.9246085E-02  0.1284595E-01  0.1672869E-01  0.2081620E-01
 0.2000000E+00  0.1510385E+00  0.1020777E+00  0.6594870E-01  0.3994990E-01  0.2193079E-01  0.1018128E-01  0.3343063E-02  0.3386540E-03  0.3146335E-03  0.2596198E-02  0.6650830E-02  0.1205926E-01  0.1849223E-01  0.2569199E-01  0.3345748E-01  0.4163254E-01
 0.3000000E+00  0.2265522E+00  0.1531137E+00  0.9892167E-01  0.5992422E-01  0.3289591E-01  0.1527181E-01  0.5014544E-02  0.5079568E-03  0.4719428E-03  0.3894310E-02  0.9976290E-02  0.1808897E-01  0.2773847E-01  0.3853817E-01  0.5018648E-01  0.6244913E-01
 0.4000000E+00  0.3020593E+00  0.2041464E+00  0.1318930E+00  0.7989777E-01  0.4386071E-01  0.2036220E-01  0.6685965E-02  0.6772306E-03  0.6292430E-03  0.5192439E-02  0.1330180E-01  0.2411879E-01  0.3698489E-01  0.5138460E-01  0.6691578E-01  0.8326611E-01
 0.5000000E+00  0.3775576E+00  0.2551744E+00  0.1648621E+00  0.9987030E-01  0.5482506E-01  0.2545241E-01  0.8357306E-02  0.8464656E-03  0.7865311E-03  0.6490590E-02  0.1662739E-01  0.3014874E-01  0.4623152E-01  0.6423133E-01  0.8364550E-01  0.1040836E+00
 0.6000000E+00  0.4530448E+00  0.3061969E+00  0.1978284E+00  0.1198416E+00  0.6578886E-01  0.3054238E-01  0.1002855E-01  0.1015652E-02  0.9438042E-03  0.7788769E-02  0.1995306E-01  0.3617887E-01  0.5547843E-01  0.7707845E-01  0.1003757E+00  0.1249018E+00
 0.7000000E+00  0.5285188E+00  0.3572125E+00  0.2307914E+00  0.1398113E+00  0.7675200E-01  0.3563208E-01  0.1169967E-01  0.1184781E-02  0.1101059E-02  0.9086980E-02  0.2327884E-01  0.4220920E-01  0.6472566E-01  0.8992605E-01  0.1171066E+00  0.1457207E+00
 0.8000000E+00  0.6039773E+00  0.4082202E+00  0.2637506E+00  0.1597792E+00  0.8771437E-01  0.4072146E-01  0.1337065E-01  0.1353841E-02  0.1258293E-02  0.1038523E-01  0.2660475E-01  0.4823978E-01  0.7397328E-01  0.1027742E+00  0.1338382E+00  0.1665405E+00
 0.9000000E+00  0.6794181E+00  0.4592188E+00  0.2967053E+00  0.1797452E+00  0.9867586E-01  0.4581048E-01  0.1504147E-01  0.1522825E-02  0.1415503E-02  0.1168352E-01  0.2993080E-01  0.5427063E-01  0.8322134E-01  0.1156229E+00  0.1505706E+00  0.1873614E+00
 0.1000000E+01  0.7548390E+00  0.5102072E+00  0.3296550E+00  0.1997088E+00  0.1096364E+00  0.5089908E-01  0.1671211E-01  0.1691721E-02  0.1572685E-02  0.1298186E-01  0.3325701E-01  0.6030179E-01  0.9246989E-01  0.1284724E+00  0.1673039E+00  0.2081835E+00
 0.1100000E+01  0.8302379E+00  0.5611843E+00  0.3625992E+00  0.2196699E+00  0.1205958E+00  0.5598722E-01  0.1838255E-01  0.1860520E-02  0.1729838E-02  0.1428026E-01  0.3658340E-01  0.6633329E-01  0.1017190E+00  0.1413226E+00  0.1840383E+00  0.2290068E+00
 0.1200000E+01  0.9056125E+00  0.6121490E+00  0.3955374E+00  0.2396282E+00  0.1315539E+00  0.6107486E-01  0.2005276E-01  0.2029213E-02  0.1886957E-02  0.1557872E-01  0.3990998E-01  0.7236518E-01  0.1109687E+00  0.1541737E+00  0.2007738E+00  0.2498316E+00
 0.1300000E+01  0.9809606E+00  0.6631001E+00  0.4284689E+00  0.2595834E+00  0.1425108E+00  0.6616194E-01  0.2172274E-01  0.2197789E-02  0.2044040E-02  0.1687724E-01  0.4323678E-01  0.7839747E-01  0.1202190E+00  0.1670258E+00  0.2175105E+00  0.2706579E+00
 0.1400000E+01  0.1056280E+01  0.7140364E+00  0.4613932E+00  0.2795353E+00  0.1534662E+00  0.7124843E-01  0.2339246E-01  0.2366240E-02  0.2201084E-02  0.1817584E-01  0.4656381E-01  0.8443022E-01  0.1294701E+00  0.1798788E+00  0.2342486E+00  0.2914859E+00
 0.1500000E+01  0.1131569E+01  0.7649569E+00  0.4943098E+00  0.2994837E+00  0.1644201E+00  0.7633428E-01  0.2506190E-01  0.2534556E-02  0.2358085E-02  0.1947451E-01  0.4989109E-01  0.9046345E-01  0.1387219E+00  0.1927330E+00  0.2509881E+00  0.3123158E+00
 0.1600000E+01  0.1206824E+01  0.8158605E+00  0.5272181E+00  0.3194282E+00  0.1753724E+00  0.8141945E-01  0.2673104E-01  0.2702726E-02  0.2515042E-02  0.2077326E-01  0.5321864E-01  0.9649719E-01  0.1479746E+00  0.2055883E+00  0.2677292E+00  0.3331475E+00
 0.1700000E+01  0.1282045E+01  0.8667460E+00  0.5601175E+00  0.3393687E+00  0.1863229E+00  0.8650387E-01  0.2839985E-01  0.2870741E-02  0.2671949E-02  0.2207210E-01  0.5654647E-01  0.1025315E+00  0.1572281E+00  0.2184448E+00  0.2844719E+00  0.3539814E+00
 0.1800000E+01  0.1357227E+01  0.9176123E+00  0.5930076E+00  0.3593049E+00  0.1972715E+00  0.9158752E-01  0.3006833E-01  0.3038592E-02  0.2828806E-02  0.2337103E-01  0.5987461E-01  0.1085664E+00  0.1664826E+00  0.2313027E+00  0.3012164E+00  0.3748175E+00
